work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,work_setting,company_location,company_size,salary_in_usd
2020,Mid-level,Full-time,Data Scientist,DE,0,On-site,DE,Large,79833
2020,Senior-level,Full-time,Machine Learning Scientist,JP,0,On-site,JP,Small,260000
2020,Senior-level,Full-time,Big Data Engineer,GB,50,Hybrid,GB,Medium,109024
2020,Mid-level,Full-time,Other,HN,0,On-site,HN,Small,20000
2020,Senior-level,Full-time,Machine Learning Engineer,US,50,Hybrid,US,Large,150000
2020,Entry-level,Full-time,Data Analyst,US,100,Remote,US,Large,72000
2020,Senior-level,Full-time,Other,US,100,Remote,US,Small,190000
2020,Mid-level,Full-time,Data Scientist,HU,50,Hybrid,HU,Large,35735
2020,Mid-level,Full-time,Business Data Analyst,US,100,Remote,US,Large,135000
2020,Senior-level,Full-time,Lead Data Engineer,NZ,50,Hybrid,NZ,Small,125000
2020,Entry-level,Full-time,Data Scientist,FR,0,On-site,FR,Small,51321
2020,Mid-level,Full-time,Data Scientist,IN,0,On-site,IN,Large,40481
2020,Entry-level,Full-time,Data Scientist,FR,0,On-site,FR,Medium,39916
2020,Mid-level,Full-time,Other,US,100,Remote,US,Large,87000
2020,Mid-level,Full-time,Data Analyst,US,100,Remote,US,Large,85000
2020,Mid-level,Full-time,Data Analyst,PK,50,Hybrid,PK,Large,8000
2020,Entry-level,Full-time,Data Engineer,JP,100,Remote,JP,Small,41689
2020,Senior-level,Full-time,Big Data Engineer,PL,100,Remote,GB,Small,114047
2020,Entry-level,Full-time,Data Science Consultant,IN,50,Hybrid,IN,Medium,5707
2020,Mid-level,Full-time,Lead Data Engineer,PT,100,Remote,US,Medium,56000
2020,Mid-level,Full-time,Machine Learning Engineer,CN,0,On-site,CN,Medium,43331
2020,Mid-level,Full-time,Other,IN,100,Remote,IN,Large,6072
2020,Senior-level,Full-time,Data Engineer,GR,50,Hybrid,GR,Large,47899
2020,Mid-level,Full-time,BI Data Analyst,US,0,On-site,US,Medium,98000
2020,Mid-level,Full-time,Other,AE,0,On-site,AE,Large,115000
2020,Executive-level,Full-time,Director of Data Science,US,100,Remote,US,Large,325000
2020,Entry-level,Full-time,Research Scientist,NL,50,Hybrid,NL,Large,42000
2020,Senior-level,Full-time,Data Engineer,MX,0,On-site,MX,Small,33511
2020,Entry-level,Contract,Business Data Analyst,US,100,Remote,US,Large,100000
2020,Senior-level,Full-time,Other,CA,50,Hybrid,CA,Large,117104
2020,Mid-level,Full-time,Data Engineering Manager,DE,100,Remote,DE,Small,59303
2020,Entry-level,Full-time,Big Data Engineer,US,100,Remote,US,Large,70000
2020,Senior-level,Full-time,Data Scientist,GR,100,Remote,US,Large,68428
2020,Mid-level,Full-time,Data Analyst,FR,50,Hybrid,FR,Large,46759
2020,Mid-level,Full-time,Data Engineer,AT,50,Hybrid,AT,Large,74130
2020,Mid-level,Full-time,Data Science Consultant,US,100,Remote,US,Large,103000
2020,Entry-level,Full-time,Machine Learning Engineer,US,50,Hybrid,US,Large,250000
2020,Entry-level,Full-time,Data Analyst,NG,100,Remote,NG,Small,10000
2020,Entry-level,Full-time,Machine Learning Engineer,US,100,Remote,US,Small,138000
2020,Mid-level,Full-time,Data Scientist,PH,100,Remote,US,Small,45760
2020,Executive-level,Full-time,Data Engineering Manager,ES,50,Hybrid,ES,Large,79833
2020,Mid-level,Full-time,Other,PT,0,On-site,PT,Medium,50180
2020,Mid-level,Full-time,Data Engineer,US,100,Remote,US,Large,106000
